id,item_id,invoice_id,quantity,unit_price,created_at,updated_at
1,123,1,5,200,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,345,1,9,200000,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,567,1,8,4500,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
4,789,2,3,46000,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
5,256,1,7,1000,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
6,263539664,1,5,52100,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
7,263563764,1,4,66747,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
8,263432817,1,6,76941,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
9,263529264,1,6,29973,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
10,263523644,2,4,1859,2012-03-27 14:54:09 UTC,2012-03-27
